BAG_ID_Pand,status
0518100000205547,occur_both
0518100000205563,occur_both
0518100000205571,occur_both
0518100000205572,occur_both
0518100000205573,occur_both
0518100000205574,occur_both
0518100000205579,occur_both
0518100000205588,occur_both
0518100000205706,occur_both
0518100000205726,occur_both
0518100000205738,occur_both
0518100000205767,occur_both
0518100000205768,occur_both
0518100000205822,occur_both
0518100000205834,occur_both
0518100000205871,occur_both
0518100000205893,occur_both
0518100000205926,occur_both
0518100000205967,occur_both
0518100000205975,occur_both
0518100000205976,occur_both
0518100000206009,occur_both
0518100000206031,occur_both
0518100000206032,occur_both
0518100000206076,occur_both
0518100000206163,occur_both
0518100000206204,occur_both
0518100000206211,occur_both
0518100000206221,occur_both
0518100000206222,occur_both
0518100000206236,occur_both
0518100000206263,occur_both
0518100000206300,occur_both
0518100000206345,occur_both
0518100000206346,occur_both
0518100000206348,occur_both
0518100000206365,occur_both
0518100000206366,occur_both
0518100000206370,occur_both
0518100000206374,occur_both
0518100000206382,occur_both
0518100000206408,occur_both
0518100000206409,occur_both
0518100000206444,occur_both
0518100000206445,occur_both
0518100000206468,occur_both
0518100000206520,occur_both
0518100000206623,occur_both
0518100000206624,occur_both
0518100000206625,occur_both
0518100000206629,occur_both
0518100000206631,occur_both
0518100000206635,occur_both
0518100000206642,occur_both
0518100000206700,occur_both
0518100000206745,occur_both
0518100000206751,occur_both
0518100000206753,occur_both
0518100000206824,occur_both
0518100000206829,occur_both
0518100000206835,occur_both
0518100000206843,occur_both
0518100000206844,occur_both
0518100000206867,occur_both
0518100000206868,occur_both
0518100000206912,occur_both
0518100000207014,occur_both
0518100000207031,occur_both
0518100000207034,occur_both
0518100000207064,occur_both
0518100000207163,occur_both
0518100000207185,occur_both
0518100000207240,occur_both
0518100000207284,occur_both
0518100000207288,occur_both
0518100000207301,occur_both
0518100000207387,occur_both
0518100000207461,occur_both
0518100000207487,occur_both
0518100000207488,occur_both
0518100000207489,occur_both
0518100000207491,occur_both
0518100000207508,occur_both
0518100000207536,occur_both
0518100000207616,occur_both
0518100000207630,occur_both
0518100000207689,occur_both
0518100000207690,occur_both
0518100000207695,occur_both
0518100000207780,occur_both
0518100000208002,occur_both
0518100000208011,occur_both
0518100000208091,occur_both
0518100000208107,occur_both
0518100000208188,occur_both
0518100000208189,occur_both
0518100000208249,occur_both
0518100000208320,occur_both
0518100000208382,occur_both
0518100000208383,occur_both
0518100000208384,occur_both
0518100000208385,occur_both
0518100000208389,occur_both
0518100000208391,occur_both
0518100000208392,occur_both
0518100000208460,occur_both
0518100000208461,occur_both
0518100000208502,occur_both
0518100000208504,occur_both
0518100000208507,occur_both
0518100000208587,occur_both
0518100000208612,occur_both
0518100000208616,occur_both
0518100000208631,occur_both
0518100000208741,occur_both
0518100000208753,occur_both
0518100000208758,occur_both
0518100000208907,occur_both
0518100000208963,occur_both
0518100000208982,occur_both
0518100000208992,occur_both
0518100000208993,occur_both
0518100000209093,occur_both
0518100000209094,occur_both
0518100000209217,occur_both
0518100000209245,occur_both
0518100000209372,occur_both
0518100000209407,occur_both
0518100000209408,occur_both
0518100000209412,occur_both
0518100000209444,occur_both
0518100000209545,occur_both
0518100000209560,occur_both
0518100000209576,occur_both
0518100000209577,occur_both
0518100000209578,occur_both
0518100000209579,occur_both
0518100000209595,occur_both
0518100000209598,occur_both
0518100000209700,occur_both
0518100000209722,occur_both
0518100000209740,occur_both
0518100000209790,occur_both
0518100000209791,occur_both
0518100000209793,occur_both
0518100000209812,occur_both
0518100000209873,occur_both
0518100000209917,occur_both
0518100000209921,occur_both
0518100000209981,occur_both
0518100000210046,occur_both
0518100000210047,occur_both
0518100000210107,occur_both
0518100000210111,occur_both
0518100000210112,occur_both
0518100000210147,occur_both
0518100000210170,occur_both
0518100000210209,occur_both
0518100000210224,occur_both
0518100000210240,occur_both
0518100000210273,occur_both
0518100000210377,occur_both
0518100000210469,occur_both
0518100000210470,occur_both
0518100000210471,occur_both
0518100000210472,occur_both
0518100000210506,occur_both
0518100000210519,occur_both
0518100000210587,occur_both
0518100000210590,occur_both
0518100000210611,occur_both
0518100000210725,occur_both
0518100000210824,occur_both
0518100000210945,occur_both
0518100000210989,occur_both
0518100000210991,occur_both
0518100000211045,occur_both
0518100000211087,occur_both
0518100000211113,occur_both
0518100000211114,occur_both
0518100000211121,occur_both
0518100000211148,occur_both
0518100000211149,occur_both
0518100000211171,occur_both
0518100000211177,occur_both
0518100000211207,occur_both
0518100000211261,occur_both
0518100000211291,occur_both
0518100000211292,occur_both
0518100000211293,occur_both
0518100000211299,occur_both
0518100000211314,occur_both
0518100000211439,occur_both
0518100000211472,occur_both
0518100000211521,occur_both
0518100000211580,occur_both
0518100000211596,occur_both
0518100000211617,occur_both
0518100000211621,occur_both
0518100000211728,occur_both
0518100000211739,occur_both
0518100000211767,occur_both
0518100000211826,occur_both
0518100000211923,occur_both
0518100000211924,occur_both
0518100000211959,occur_both
0518100000211969,occur_both
0518100000211970,occur_both
0518100000212024,occur_both
0518100000212201,occur_both
0518100000212239,occur_both
0518100000212243,occur_both
0518100000212246,occur_both
0518100000212336,occur_both
0518100000212399,occur_both
0518100000212400,occur_both
0518100000212405,occur_both
0518100000212509,occur_both
